title,label
National Federation of Independent Business,0
comments in Fayetteville NC,0
"Romney makes pitch, hoping to close deal : Elections : The Rocky Mountain News",0
Democratic Leaders Say House Democrats Are United Against GOP Default Act,0
"Budget of the United States Government, FY 2008",0
Donald Trump exaggerates when he says China has 'total control' over North Korea,0
25th Amendment,0
子供たちのコト。私のコト。,0
"Briefing by White House Press Secretary Robert Gibbs, 9/10/09",0
A Solar Grand Plan: Scientific American,0
Covering Young Adults Under the Affordable Care Act: The Importance of Outreach and Medicaid Expansion,0
"Harry Reid Says GOP Should ""Stop Crying"" About Reconciliation",0
Political TV Ad Archive » PolAd,0
Bureau of Labor Statistics Data,0
Summary of the Affordable Care Act,0
'This Week' Transcript: Holder and Giuliani,0
Impeachment Talk Becomes a Cynical Game,0
Preventing the Flu: Good Health Habits Can Help Stop Germs,0
Las Vegas campaign rally,0
MoveOn.org Political Action: 10 things to know about McCain,0
Rand Paul Campaigns in Iowa for Miller-Meeks,0
Hispanic Populations Share of Wealth Likely to Increase by 2025,0
Hillary Clinton says guns exceed next nine categories as leading cause of death for young black men,0
Already a lost decade: Working-age household income down more than 10% since 2000,0
U.S. Senate: Supreme Court Nominations: present-1789,0
PolitiFact’s annotated transcript of the second presidential debate,0
Obamas comments on capandtrade costs,0
Des Moines Register,0
The Tonight Show with Jay Leno,0
'This Week' Transcript: Pelosi and Gates,0
Losing Ground Foreclosures in the Subprime Market and Their Cost to Homeowners,0
Joint DHS and ODNI Election Security Statement,0
U.S. Senate: U.S. Senate Roll Call Votes 110th Congress,0
Palin-Huey,0
"Employment, Hours, and Earnings from the Current Employment Statistics survey (National) Home Page",0
"No, We Can’t? Or Won’t?",0
Barack Obama’s Remarks in St. Paul,0
letter to Chaffetz and Cummings,0
The Arena - Politico's daily debate with policymakers and opinion shapers,0
The Economic Burden Caused by Tax Code Complexity,0
McDonnell Letter Urges No Delay in Virginia Offshore Energy Exploration and Development,0
"To young people who are undocumented: This is your country, too.",0
Transcript of AP interview with Trump,0
Change We Can Believe In,0
Infrastructure Report Card 2005,0
"GOP Task Force, Lone Democrat Eye Trafficking Law",0
Dr. James Dobson,0
McCain: McSame as Bush,0
john.he.is,0
Remarks on counterterrorism at Stanford University,0
iQ media Clip Player,0
Remarks by the President on Increasing Oversight on Manipulation in Oil Markets,0
U.S. Army's Involvement in Motorsports,0
"UN Refugee Agency welcomes arrival of 10,000th Syrian refugee resettled to United States",0
Watch a replay of Fox News' 5 p.m. presidential debate,0
It’s Time for the Senate to Do Its Job – Congressman Mike Honda – Medium,0
"Ralph Nader on Barack Obama: ""It is Quite Clear He is a Corporate Candidate from A to Z""",0
Marco Rubio says Ted Cruz voted for defense cuts in Rand Paul's budget proposal,0
Births: Preliminary Data for 2005,0
Congress: Job Ratings,0
"Before leaving governor’s office in 2006, Mitt Romney’s staff eliminated e-mail records",0
"Transcript: The Democratic debate in Milwaukee, annotated",0
"Crist has experience to be vice president, McCain says",0
Strong Words in Ohio as Obama and Clinton Press On,0
LexisNexis(R) Publisher,0
“Dictionary” on President Obama’s Health Care Taxes,0
Memory Lapse? Trump Seeks Distance From 'Advisor' With Past Ties to Mafia,0
Gross Domestic Product Percent change from preceding period,0
Who Benefits from President Trump’s Child Care Proposals,0
Organizing for Action,0
2008 Presidential Election,0
The Return of the Viral Email,0
'This Week' Transcript: Rep. Paul Ryan,0
International Energy Statistics,0
Interview with Sen John McCain,0
Obama campaign radio ad,0
Remarks by the President on a New Strategy for Afghanistan and Pakistan,0
"At Trump hotel site, immigrant workers wary",0
"Preliminary Analysis of the Chairman’s Mark for the America’s Healthy Future Act, as Amended",0
Candidate Comparison,0
Political TV Ad Archive » PolAd,0
Ted Cruz' Full 'Meet the Press' Interview,0
"""New Energy"" Ad",0
Session Law,0
Interview with Rudy Giuliani,0
"'This Week' Transcript: McKay, Napolitano, Salazar and Allen",0
Missing Teen-Ager Found in New Jersey,0
Full text: Jeff Flake on Trump speech transcript,0
'This Week' Transcript: Biden,0
Rising to a New Generation of Global Challenges,0
Browse Congressional Bills,0
Taxable Estates Estate Tax Liability and Average Estate Tax Rate By Size of Gross Estate,0
Biden Issues Statement Following Conversation with Musharraf,0
Remarks by the President on the American Jobs Act,0
remarks in Philadelphia,0
Krugman calls Senate health care bill similar to law in Massachusetts,0
US Government Accountability Office Report to Congressional Committees,0
Philando Castile Had Been Stopped 52 Times By Police,0
Regular Session Senate Transcript,0
No More Dragging Up the Rear Arkansas Bows To Pressures To Put Schools To the Test,0
05/27/99 Committee on the Judiciary,0
About Bright Horizons Child Care & Family Solutions,0
No MidOct Paycheck for Troops if Government Shuts Down Lawmaker says,0
Full Interview Transcript: President Barack Obama,0
National Income and Product Accounts Table 175 Relation of Gross Domestic Product,0
America's Enduring Strength,0
Debt Day: A Symbol of Washington’s Arrogant Culture of Borrowing and Spending (Boehner Op-Ed on Townhall.com),0
'This Week' Transcript: Former Vice President Dick Cheney,0
Transcript: Blue-Ribbon Panel on Health Care,0
Republican response to President Barack Obamas Weekly radio address,0
The Colbert Report,0
U.S. Senate: U.S. Senate Roll Call Votes 105th Congress,0
Striking it Richer The Evolution of Top Incomes in the United States update with 2007 estimates,0
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",0
China's Space Threat: How Missiles Could Target U.S. Satellites,0
Job Openings and Labor Turnover Survey News Release,0
"'This Week' Transcript: Goolsbee, Brown & Corker",0
Analysis of the 2008 Presidential Candidates’ Tax Plans,0
"U.S. considers 3,000 more troops for Afghanistan",0
"3rd Democratic debate transcript, annotated: Who said what and what it meant",0
"Joni Ernst ""Promises"" Ad",0
Testimony on the Alternative Minimum Tax,0
Obama Criticizes McCain on Lobbyists,0
SECRET VIDEO: Romney Tells Millionaire Donors What He REALLY Thinks of Obama Voters,0
Peace Through Strength and American Pride vs. “Enemy-Centric” Policy,0
'This Week' Transcript: Sen. Dianne Feinstein and Rep. Mike Rogers,0
